player_id,name,hand,ht,country_id
201603,Shelby Rogers,R,175,USA
220348,Diane Parry,R,,FRA
211019,Audrey Albie,R,,FRA
201568,Kristina Kucova,R,,SVK
106288,Mathias Bourgue,R,,FRA
104970,Matteo Viola,R,,ITA
105613,Norbert Gombos,R,193,SVK
111505,Enzo Couacaud,R,,FRA
105011,Illya Marchenko,R,185,UKR
111512,Johan Sebastien Tatlot,U,,FRA
105217,Thiemo De Bakker,R,193,NED
105590,Uladzimir Ignatik,R,,BLR
105589,Gerald Melzer,L,,AUT
200384,Hugo Gaston,L,,FRA
111192,Lucas Miedler,R,,AUT
111453,Mikael Torpegaard,R,,DEN
144972,Geoffrey Blancaneaux,R,,FRA
200188,Matteo Martineau,U,,FRA
131905,Manuel Guinard,U,,FRA
126120,Nino Serdarusic,U,,CRO
144656,Corentin Denolly,L,,FRA
104804,Amir Weintraub,R,188,ISR
126149,Gianluca Mager,R,185,ITA
202430,Alize Lim,R,,FRA
203576,Kai Lin Zhang,R,,CHN
206178,Susanne Celik,R,,SWE
211337,Tamara Korpatsch,R,,GER
203514,Katarzyna Kawa,R,,POL
201472,Romina Oprandi,R,,SUI
213837,Ylena In Albon,R,,SUI
221039,Elsa Jacquemot,R,,FRA
201701,Basak Eraydin,R,,TUR
213889,Greetje Minnen,R,,BEL
214220,Margot Yerolymos,U,,FRA
216099,Loudmilla Bencheikh,U,,FRA
203513,Robin Anderson,R,,USA
206219,Oceane Dodin,R,,FRA
211685,Rebecca Sramkova,R,,SVK
215807,Manon Leonard,R,,FRA
214219,Tessah Andrianjafitrimo,R,,FRA
200325,Emil Ruusuvuori,R,188,FIN
203379,Marina Melnikova,R,,RUS
213646,Dalma Galfi,U,,HUN
202922,Michaela Honcova,R,,SVK
204377,Indy De Vroome,R,,NED
215996,Arianne Hartono,R,,NED
211700,Barbora Stefkova,R,,CZE
210336,Rosalie Van Der Hoek,L,,NED
216170,Noa Liauw A Fong,R,,NED
144923,Louis Wessels,R,,GER
207733,Jack Draper,L,,GBR
123795,Altug Celikbilek,U,,TUR
144985,Ergi Kirkin,R,,TUR
105060,Aldin Setkic,R,193,BIH
123819,Goncalo Oliveira,L,,POR
105529,Carlos Gomez Herrera,R,,ESP
144642,Marcelo Tomas Barrios Vera,R,,CHI
124126,Sarp Agabigun,R,,TUR
207129,Yanki Erel,L,,TUR
206703,Paul Jubb,R,,GBR
111515,Thai Son Kwiatkowski,R,,USA
201524,Urszula Radwanska,R,177,POL
206230,Alicia Barnett,U,,GBR
212043,Freya Christie,U,,GBR
105577,Vasek Pospisil,R,193,CAN
211817,Elena Gabriela Ruse,U,,ROU
106302,Andrew Harris,R,,AUS
126106,Ryan Peniston,U,,GBR
126193,Mark Whitehouse,U,,GBR
104534,Dudi Sela,R,175,ISR
104882,Blaz Kavcic,R,188,SLO
123828,Jan Choinski,R,,GER
111775,Evan Hoyt,R,,GBR
106281,Liam Broady,L,,GBR
202420,Aidan Mchugh,U,,GBR
215812,Shuyue Ma,R,,CHN
221054,Emma Raducanu,R,,GBR
202456,Alexandra Cadantu,R,170,ROU
202688,Isabella Shinikova,R,,BUL
215983,Ann Li,R,,USA
